itemid,user,sku,date,content
545982727848,粉***y,,2017年08月11日 14:10,好看好看，特别可爱的支架！
545982727848,b***y,,2017年08月11日 18:40,几次买都超棒棒棒棒棒，这次还送了姐姐的小胸针，上次是可爱的民国，都超级喜欢，谢谢店主！
545982727848,1***m,,2017年08月11日 13:53,不错，很牢固的样子
545982727848,t***1,,2017年08月02日 15:17,女朋友十分喜欢！好评，
545982727848,哎***7,,2017年07月20日 17:22,很nice！
545982727848,s***5,,2017年08月15日 12:08,可以，就是有点大
545982727848,t***9,,2017年08月07日 13:10,不知道为什么会出现两个问号，但是手机扣的泰妍小姐姐形象超级可爱~
554631453316,老***熊,大小:全新未拆--粉版,2017年07月31日 12:30,包得特别好，还送了好多小礼物，开心?
545982727848,k***9,,2017年07月12日 19:20,不知道为什么会出现两个问号，但是手机扣的泰妍小姐姐形象超级可爱~
554631453316,d***e,大小:全新未拆--粉版,2017年08月01日 21:48,今天一起到的，外包装挺不错，多谢店家的小礼物?
545982727848,t***w,,2017年07月17日 15:40,和照片一模一样，比我想象中的大一点点?质量很好，粘上了不容易掉下来?
554631453316,予***9,大小:无卡裸专--蓝版,2017年07月31日 23:12,我的ty超级超级好看了???表白我羊崽
545982727848,t***5,,2017年07月01日 21:21,好看
554631453316,龙***2,大小:全新未拆--粉版,2017年08月01日 17:26,之前买了后就差一张粉版，价格也很实惠，送了很多小礼物，谢谢店主?
545982727848,殛***a,,2017年07月08日 23:21,真的超级好看
554631453316,t***7,大小:全新未拆--蓝版,2017年08月16日 17:41,专辑的角被磨弯了
545982727848,千***o,,2017年07月09日 09:47,挺好的  作为粉丝  怎么都值
554631453316,雨***雨,大小:无卡裸专--蓝版,2017年07月31日 11:01,东西很好，店家还送了小礼物。运费略贵 ，因为是空运，不过速度很快。
545982727848,芮***傻,,2017年07月02日 18:57,东西很好，很喜欢，就是有点小贵
