itemid,user,sku,date,content
554631453316,h***e,大小:全新未拆--蓝版,2017年07月16日 15:43,特别好的果达 我是直接下单的性格 没有跟店主沟通过 只备注了想要扑克牌 店主不仅给了我扑克牌 还送了很多其他的 虽然我在抽吧买专辑的时候已经送过了 但还是超级无敌感谢店主的热心 专辑也包的特别厚实 笔芯
545982727848,露***苏,,2017年07月05日 10:49,超可爱 大爱我抽队
554631453316,t***1,大小:全新未拆--蓝版,2017年07月03日 11:42,昨天买，今天就送到了！棒棒哒！其实已经买了粉版的了，后面纠结一下，还是凑一套吧，哈哈
545982727848,z***s,,2017年06月14日 18:01,是泰妍必须好评
554631453316,玥***x,大小:无卡裸专--蓝版,2017年07月10日 18:33,专辑很好，还送了很多赠品，我最喜欢这个了好可爱，哈哈哈
545982727848,烟***空,,2017年06月07日 19:30,女神超可爱~
554631453316,徐***7,大小:全新未拆--蓝版,2017年07月12日 19:04,收到啦   哈哈哈哈   因为在抽吧买的有点&rarr;_&rarr;嗯&hellip;所以重买了蓝色的     谢谢你包装的这么好   下次还会来的呢   还送了鼠标垫和其他的小礼物！卖家人特别好^&omega;^么么哒
545982727848,人***1,,2017年06月25日 12:54,啊啊啊啊 收到货了, 作为果达  真的超级喜欢店家送的两张照片 而且真的好好看！ 必须好评
554631453316,l***5,大小:无卡裸专--粉版,2017年07月13日 20:52,拿到手那一刻 幸福！
545982727848,5***y,,2017年07月29日 10:11,非常不错，图就偷楼下得吧
554631453316,橘***蠢,大小:无卡裸专--粉版,2017年07月09日 20:04,( ?*｀)超级棒
545982727848,l***5,,2017年06月22日 19:17,宝贝收到了，性价比还不错，希望继续优惠保持下去
554631453316,s***y,大小:无卡裸专--蓝版,2017年07月14日 07:30,凑了一套，很好很好
545982727848,i***女,,2017年06月23日 16:47,东西买的和之前完全不一样支架也是坏的  图也特别糊找客服客服不理我太失望
554631453316,我***记,大小:无卡裸专--粉版,2017年07月07日 13:12,卖家服务态度很好 发货速度也很快 还送了很多周边
554631453316,l***5,大小:无卡裸专--蓝版,2017年07月13日 20:52,拿到手那一刻 幸福！
554631453316,一***达,大小:全新未拆--蓝版,2017年08月01日 15:28,此用户没有填写评价。
554631453316,风***5,大小:全新未拆--蓝版,2017年08月02日 20:55,此用户没有填写评价。
554631453316,一***n,大小:无卡裸专--粉版,2017年07月10日 14:52,此用户没有填写评价。
554631453316,允***i,,2017年08月01日 10:00,评价方未及时做出评价,系统默认好评!
554631453316,t***0,,2017年08月15日 11:51,评价方未及时做出评价,系统默认好评!
522759448586,迷***5,颜色分类:专辑带海报A款 现货,2017年08月01日 08:17,送同学的礼物，没打开不知道怎么样   以后问一下来追评吧
522759448586,最***勋,颜色分类:专辑带海报A款 现货,2017年08月16日 14:19,其他没有什么   就是等得太久了
522759448586,怒***帅,颜色分类:全新专辑送小卡 现货,2017年08月05日 10:37,挺不错的 很满意
522759448586,a***3,颜色分类:专辑带海报A款 现货,2017年07月17日 09:08,邊角有一點被磕到。整體還是不錯的，海報也挺好，送了幾張小卡片
522759448586,t***4,颜色分类:全新专辑送小卡 预定,2017年07月13日 16:59,还不错
522759448586,u***u,颜色分类:专辑带海报A款 现货,2017年07月17日 17:54,海报很大 泰古内页zzang～
522759448586,金***友,颜色分类:专辑带海报A款 现货,2017年06月23日 22:50,快递挺快，送来的没有褶皱。很喜欢 五星好评
522759448586,小***9,颜色分类:现货 全新专辑送小卡,2017年06月18日 17:11,非常棒  物流快  店主的服务也是很棒的  值得果达们去购买 ！！
532868966280,叫***咯,,2017年08月17日 12:29,送给朋友的，朋友很喜欢，里面东西很多，客服售后态度也很好，五星好评！
522759448586,月***日,颜色分类:现货 全新专辑送小卡,2017年06月11日 11:27,海报免费送的 很好啊
532868966280,泰***i,,2017年07月20日 20:16,宝贝特别好，我特别满意
522759448586,t***6,颜色分类:现货 全新专辑送小卡,2017年06月16日 23:23,海报免费送的 很好啊
532868966280,j***1,,2017年07月30日 20:59,东西很好  
522759448586,b***b,颜色分类:现货 全新专辑送小卡,2017年06月27日 12:50,很喜欢  速度很快 谢谢卖家
532868966280,t***2,,2017年07月03日 21:43,送给朋友的，朋友说非常喜欢，所以给了个好评
522759448586,何***5,颜色分类:专辑带海报A款 现货,2017年06月08日 11:36,专辑收到了，包装完好，就是有点撞角了，店家还送了三张小卡，不错，开封以后会来追评
532868966280,l***笋,,2017年07月08日 14:38,应该挺好的吧，帮妹妹的同学买的
522759448586,p***x,颜色分类:现货 全新专辑送小卡,2017年06月16日 21:35,朋友很喜歡
532868966280,加***歌,,2017年07月17日 11:33,非常的喜欢啊
522759448586,巴***0,颜色分类:现货 全新专辑送小卡,2017年06月17日 01:57,挺喜欢的，还带有收据
532868966280,4***暖,,2017年06月17日 13:22,
522759448586,1***6,颜色分类:现货 全新专辑送小卡,2017年06月21日 22:36,帮泰妍小迷弟买的嘿嘿
532868966280,周***3,,2017年06月27日 14:50,
522759448586,k***7,颜色分类:预定 全新专辑送小卡,2017年05月29日 18:08,好好好，非常开心。
532868966280,怀***人,,2017年06月17日 12:20,虽说出了点问题但还是很值得买的！有需要还会来的
522759448586,t***2,颜色分类:全新专辑送小卡 现货,2017年07月26日 17:50,大爱泰妍
532868966280,郭***6,,2017年05月25日 17:41,不错，女儿很喜欢
522759448586,汐***4,颜色分类:专辑带海报A款 现货,2017年05月18日 12:59,等了很久  有些碰撞   挺不错的    15年的现在才买 ?
532868966280,无***y,,2017年05月09日 20:56,很喜欢，非常棒
522759448586,l***7,,2017年05月23日 17:50,真的好漂亮。。。。好看的想哭???
532868966280,冷***雪,,2017年06月06日 18:31,很喜欢
522759448586,r***p,颜色分类:现货 全新专辑送小卡,2017年06月05日 12:42,非常满意，满分好评，坐等少时新专
532868966280,小***苗,,2017年06月02日 08:21,很喜欢
532868966280,t***9,,2017年05月08日 13:42,么么哒
532868966280,鹿***4,,2017年05月22日 17:50,给朋友的生日礼物，挺棒的，需要会再次购
532868966280,很***孤,,2017年05月19日 12:44,东西真的很棒很棒啊，是买来送朋友的，东西感觉是很精致的呢，物流速度也还行，不错的哟
532868966280,离***悠,,2017年06月06日 22:50,好喜欢的，包装也很好，海报很清晰，美美哒
532868966280,追***孩,,2017年05月04日 19:26,东西挺多的，很漂亮
532868966280,阿***！,,2017年04月14日 00:10,超棒哦，买给朋友说很喜欢
532868966280,宝***8,,2017年04月09日 15:20,超棒哦，买给朋友说很喜欢
526970296170,l***丫,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年08月12日 16:31,东西很好，送了很多的礼物
526970296170,一***4,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月23日 20:28,刚下单的时候超级期待的呀！男友很喜欢泰妍小姐姐，所以就决定送专辑！第一次送男友礼物呢！收到包裹的时候特别开心，就是没有海报有点小失落，不过后来店家也补发了，总之呢，就是很满意啦，男友收到礼物也很开心！
526970296170,a***3,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年08月15日 22:23,给朋友买的。还行。等得有些不耐烦了。最后客服加快处理了。但朋友说内页有点黄。
526970296170,破***话,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月29日 13:02,家里总感觉缺点什么，一张专辑刚好补上了。确实很喜欢，海报还没有打开看看，小卡也挺好看的，哈哈。好评一个～～  支持少女时代
526970296170,印***达,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月01日 21:30,好评好评！快递比我想象的快好多！东西超棒，甚至还有进口过来的账单记录？！全韩语的货真价实！好评！
526970296170,t***4,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月13日 16:59,喜欢?
526970296170,麋***0,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月14日 20:08,超赞了
527003138075,灬***丶,颜色分类:金色,2017年07月30日 11:19,\\(^o^)/~
526970296170,笔***谦,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年07月15日 16:07,朋友很喜欢 物流也快
527003138075,j***0,颜色分类:金色,2017年07月19日 11:29,很不错，很喜欢，泰古最棒
526970296170,月***星,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月22日 09:22,物流快 应该是正版 CD做的很精美 歌曲也好听 而且送了赠品以后还会光顾
527003138075,达***s,颜色分类:银色,2017年07月07日 14:50,不错，好看
526970296170,黎***2,,2017年03月27日 12:50,对不起啊，拖的太久了，真心喜欢，泰妍最漂亮。
527003138075,是***啊,颜色分类:银色,2017年07月10日 21:42,炒鸡好看
526970296170,j***o,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月11日 10:08,对不起啊，拖的太久了，真心喜欢，泰妍最漂亮。
527003138075,人***9,颜色分类:金色,2017年06月26日 14:21,一如既往的好。
526970296170,巴***0,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月17日 01:57,评价方未及时做出评价,系统默认好评!
527003138075,焦***叶,颜色分类:金色,2017年04月12日 19:40,小小的很精致 没想到包装这么好 好评
526970296170,m***e,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月23日 14:25,送给朋友当礼物 是正品 特别赞 她很喜欢
527003138075,致***爱,颜色分类:金色,2017年04月07日 01:40,一收到就來評價了，簡直喜歡的不行，真的炒雞喜歡，會回購的，好評好評
526970296170,童***i,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月16日 00:44,不错正版的有小票，很开心
527003138075,御***魂,颜色分类:银色,2017年04月06日 12:40,东西不错，挺好的，为了泰古
526970296170,z***6,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月23日 21:40,宝贝如实，发货迅速，好评！
527003138075,t***8,颜色分类:金色,2017年04月05日 17:51,很喜欢，为了我家泰妍而来
526970296170,呵***1,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月09日 15:50,专辑挺不错 还有海报 物流挺快的
527003138075,磐***姬,颜色分类:银色,2017年02月28日 19:21,宝贝收到，女儿很喜欢，已经贴在手机上了！好评！
526970296170,静***4,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年05月20日 16:25,好好好特别美
527003138075,w***0,颜色分类:金色,2017年03月06日 19:46,东西非常好，便宜实惠
526970296170,刘***姐,大小:带海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年05月07日 13:24,很好，屋里泰古
527003138075,转***头,颜色分类:金色,2017年02月26日 22:08,很精致，本来只想买一个贴手机上，结果买了好多，贴上很好看，客服很耐心
526970296170,烂***醉,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年05月17日 23:02,泰妍和帕尼的专辑已经到了，好高兴，包装的很好，物流也快，以后会来这家店买！
527003138075,h***i,颜色分类:银色,2017年07月01日 18:19,不怎么满意
526970296170,r***p,大小:无海报&nbsp;&nbsp颜色分类:全新专辑送小卡礼物,2017年06月05日 12:42,不错朋友很喜欢海报用管子封的点赞
527003138075,强***龙,颜色分类:金色,2017年03月11日 11:32,很精緻很美
527003138075,单***狗,颜色分类:银色,2017年03月10日 16:26,很快啊，很喜欢?
527003138075,i***j,颜色分类:金色,2017年05月11日 15:41,很漂亮的签名，为了泰妍买的，虽然已经到货但舍不得贴&hellip;&hellip;运费有点贵了&hellip;&hellip;
527003138075,明***l,颜色分类:银色,2017年05月03日 18:59,这么小一件花了我11块钱真真的不值?，快递速度还是很满意的
527003138075,妖***瞳,颜色分类:金色,2017年04月12日 12:28,欧尼fighting！！！
527003138075,龙***爱,颜色分类:金色,2017年03月06日 10:26,真的真的太漂亮了蝴蝶右边和左边要是在一起就好了，因为我贴错了，邮费贵
527003138075,t***3,颜色分类:金色,2017年03月30日 17:00,还不错
543065153283,v***子,,2017年08月12日 22:33,泰妍啊！撒浪嘿哟！物流很快还送了两张拍立得，质量也很好，超值，店主我爱你！
543065153283,夏***语,,2017年07月16日 00:28,忘配图了哈哈哈
543065153283,殛***a,,2017年07月08日 23:21,忘配图了哈哈哈
543065153283,薛***8,,,大爱我泰！！超级好看！卖家是个超级好的人，送了一个还！好评！质量也挺好的双面的哟！
543065153283,k***n,,2017年05月25日 08:22,东西很好，很喜欢
543065153283,t***5,,2017年04月24日 12:40,超级喜欢
543065153283,t***9,,2017年06月29日 17:51,超级喜欢
535952897865,光***3,颜色分类:金泰妍明信片,2017年07月05日 08:08,漂亮大气，做的精美，我拿这个快寄完了，再买一盒准备
543065153283,凉***姐,,2017年07月05日 16:49,15天内买家未作出评价
535952897865,信***u,颜色分类:金泰妍明信片,2017年07月09日 16:00,送同学的，很棒
543065153283,s***华,,2017年06月11日 15:18,kuai
535952897865,我***去,,2017年05月10日 23:00,很好看，女神
543065153283,l***k,,2017年04月01日 18:17,宝贝相符，我羊好可爱啊！
535952897865,陈***3,颜色分类:金泰妍明信片,2017年07月06日 08:22,很好看，女神
543065153283,江***书,,2017年05月01日 10:10,超好看的泰
535952897865,我***o,颜色分类:金泰妍明信片,2017年06月30日 10:49,评价方未及时做出评价,系统默认好评!
543065153283,哀***年,,2017年07月06日 20:59,泰妍泰妍泰妍爱你
535952897865,镜***7,颜色分类:金泰妍明信片,2017年06月21日 23:13,质量很好。
543065153283,t***2,,2017年03月24日 17:02,老婆超级可爱的呢哼，承包泰妍，说休想的都是后面的
535952897865,泰***0,颜色分类:金泰妍明信片,2017年06月09日 15:12,很好看，还送了歌词海报，平时在实体店买要15块钱，在这里买只要9.9真的超级划算的，物流和其他都很好
543065153283,小***闪,,2017年07月29日 20:11,具体看图? 质量很好！超喜欢！ 店家生意兴隆  ！！！
535952897865,元***2,颜色分类:金泰妍明信片,2017年06月11日 13:05,图片清晰，印刷好
543065153283,科***6,,2017年08月08日 16:16,我家羊真的美
535952897865,西***红,颜色分类:金泰妍明信片,2017年06月21日 17:55,非常好，不错的一次购物
543065153283,c***8,,2017年08月03日 18:21,挺好的
535952897865,小***3,颜色分类:金泰妍麻绳照片墙A款,2017年05月22日 09:29,挺好的都不错
543065153283,我***9,,2017年08月14日 16:01,可爱
535952897865,白***o,颜色分类:金泰妍明信片,2017年07月20日 15:11,拍的挺好看的，好评
543065153283,d***藜,,2017年07月28日 16:10,棒棒棒棒
535952897865,小***猫,颜色分类:水晶卡贴C款,2017年07月23日 00:01,送给同学的生日礼物，挺好的，喜欢
543065153283,c***8,,2017年07月24日 18:10,此用户没有填写评价。
535952897865,我***霖,颜色分类:金泰妍水晶卡贴A款,2017年05月22日 10:58,都是RAIN之前的，唉，希望能有why的
543065153283,筱***3,,2017年04月09日 17:56,评价方未及时做出评价,系统默认好评!
535952897865,我***霖,颜色分类:金泰妍水晶卡贴B款,2017年05月22日 10:58,东西到倒是到了，而且物流挺快，卡的质量也挺好，就是有一点不好 ，卡的味道太重了而且很难闻，希望商家能改进这一点
535952897865,年***1,颜色分类:金泰妍明信片,2017年07月18日 15:07,整体来看都不错
535952897865,t***2,颜色分类:金泰妍明信片,2017年04月04日 20:23,很好，我很满意。
535952897865,t***7,颜色分类:金泰妍明信片,2017年03月30日 11:14,虽然和图片不怎么一样 但是还满意 送人的
535952897865,l***d,颜色分类:金泰妍明信片,2017年03月06日 16:42,宝贝质量很好，很喜欢，和图片上一样好看，下次还会再来你家买
535952897865,清***贝,颜色分类:金泰妍明信片,2017年07月06日 23:00,感觉挺不错的，照片很高清，只是上面的歌词一直重复，总体来说挺好的，建议购买
535952897865,大***丁,颜色分类:金泰妍明信片,2017年02月28日 19:53,泰妍最高！一百个赞
542269791059,t***0,,2017年08月06日 16:37,泰妍美美哒
542269791059,g***f,,2017年08月04日 16:33,泰妍太美了，包装很好，里面也不少，赞。
542269791059,f***m,,2017年07月28日 09:13,儿子喜欢暑假要买，想想自己年轻时候也有偶像，算了几十元钱的东西，就是不明白有什么好的？
542269791059,爱***贝,,2017年06月27日 09:29,挺好的，很全
542269791059,t***4,,2017年05月09日 22:12,与描述完全相符，简直太开心了
542269791059,t***2,,2017年05月25日 09:37,泰妍?????好喜欢呀
542269791059,唯***引,,2017年06月11日 18:09,快递很烦，但是不能迁怒于这个商品，东西还是很好的
552754347222,p***5,大小:相盒书签 有礼盒&nbsp;&nbsp颜色分类:郑秀妍2,2017年08月16日 13:05,这个书签非常精美，很有分量，照片也很清楚，物美价廉～而且物流特别快，昨天下的订单今天就到了，会再来光顾的！
542269791059,l***爷,,2017年04月10日 19:00,今天刚收到货 感觉很不错 下次再来买
552754347222,n***安,颜色分类:金泰妍4,2017年08月02日 13:01,私心满满，一口气买了四个。包装的特别好都没有损坏。特别喜欢！客服也很好！物流也很快，第二天就到了。
542269791059,柔***2,,2017年06月02日 10:34,帮别人买的，不知道是啥，不过客服态度挺好的，少发了，然后又补发的，生意兴隆哈
552754347222,李***年,颜色分类:林允儿2,2017年08月11日 18:39,物流很快，宝贝很好，朋友很喜欢。
542269791059,y***8,,2017年03月28日 11:45,送给朋友，她好喜欢，哈哈
552754347222,w***晖,颜色分类:金泰妍2,2017年07月23日 17:04,姑娘期待已久的宝贝到手了，看着不错，宝贝喜欢
542269791059,爱***7,,2017年03月03日 20:09,礼品包装很赞 喜欢
552754347222,w***晖,颜色分类:郑秀妍2,2017年07月23日 17:04,姑娘期待已久的书签，感觉不错，宝贝喜欢。
542269791059,赵***w,,2017年03月29日 08:51,好
552754347222,t***9,大小:相盒书签 有礼盒&nbsp;&nbsp颜色分类:要定制图片的 亲 发图给客服,2017年08月14日 19:05,东西还可以，就是礼盒做工粗糙，两块买了个小破盒hh，有待改进
542269791059,t***3,,2017年03月30日 16:59,还不错，但是好像有十张明信片好像有点弄坏了刮花了什么的。
552754347222,殇***柔,颜色分类:林允儿5,2017年07月15日 15:46,因为地址原因很晚才拿到，但是宝贝真的很好看哦，书签不算很大但很精致，赞
542269791059,s***0,,2017年06月16日 15:03,非常漂亮！！！第二次来这家店了。 物流也非常给力！。 大赞！  
552754347222,孔***8,大小:相盒书签 无礼盒&nbsp;&nbsp颜色分类:金泰妍2,2017年08月12日 17:02,不错不错不错不错不错
542269791059,g***u,,2017年04月04日 23:54,收到了马上就拆开试了试，合适，这么便宜买到这么好的宝贝实在是太划算了，质量也不错，物流也快全五分好评
552754347222,顺***厂,颜色分类:要定制图片的 亲 发图给客服,2017年08月12日 06:35,很酷
542269791059,暮***夕,,2017年05月03日 14:49,好看，我的金哥哥啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！
552754347222,t***8,,2017年07月20日 17:12,评价方未及时做出评价,系统默认好评!
542269791059,宇***月,,2017年04月02日 16:56,很好很好好好
552754347222,0***0,颜色分类:郑秀妍1,2017年06月23日 22:07,此用户没有填写评价。
542269791059,我***四,,2017年07月10日 21:47,好评
552754347222,t***7,,2017年07月29日 14:41,评价方未及时做出评价,系统默认好评!
542269791059,忘***i,,2017年04月30日 10:19,好
552754347222,r***丶,,2017年07月30日 22:00,评价方未及时做出评价,系统默认好评!
542269791059,天***毛,,2017年02月27日 09:14,很好
552754347222,n***安,颜色分类:金泰妍2,2017年08月02日 13:01,此用户没有填写评价。
552754347222,n***安,颜色分类:郑秀妍3,2017年08月02日 13:01,此用户没有填写评价。
552754347222,小***宝,,2017年08月02日 09:24,评价方未及时做出评价,系统默认好评!
552754347222,l***x,颜色分类:金泰妍2,2017年08月09日 08:14,此用户没有填写评价。
552754347222,w***r,颜色分类:林允儿2,2017年08月09日 10:30,此用户没有填写评价。
552754347222,t***4,,2017年08月04日 10:50,评价方未及时做出评价,系统默认好评!
552754347222,z***g,,2017年07月14日 23:00,评价方未及时做出评价,系统默认好评!
546015499113,s***狸,大小:全新未拆,2017年08月07日 23:13,自己不在学校找同学代收的，同学说没有问题(?▽｀)
546015499113,老***熊,大小:全新未拆,2017年07月31日 12:30,包得特别好，店主送了好多小礼物，简直惊喜！
546015499113,希***5,大小:全新未拆,2017年08月05日 12:10,很好，非常好
546015499113,我***石,大小:全新未拆,2017年07月24日 22:02,第三次买，超满足。
546015499113,x***空,大小:全新未拆,2017年07月26日 12:56,谢谢小礼品
546015499113,乐***l,大小:全新未拆,2017年07月06日 22:17,真的是超级实惠了why宝超级美，送的扇子和鼠标垫也超好看以后会经常买的???
546015499113,前***8,大小:全新未拆,2017年07月05日 01:05,这种季节能用三天的时间就送到货也是棒棒哒~ 抽到了喜欢的小卡，店家还送了一个泰古的鼠标垫~ 不过就是边角有一点点微微的瑕疵，但是不算太大可以忍，泰妍大发吧！
546015499113,徐***7,大小:全新未拆,2017年07月12日 19:04,收到啦   哈哈哈哈   因为在抽吧买的有点&rarr;_&rarr;嗯&hellip;所以重买了蓝色的     谢谢你包装的这么好   下次还会来的呢   还送了鼠标垫和其他的小礼物！嘿嘿爱你哟！卖家人特别好^&omega;^么么哒
546832175270,飞***0,颜色分类:林允儿限量版写真集-蓝色封面,2017年08月14日 10:46,她是我最追星的，我以后会买
546015499113,陶***6,大小:全新未拆,2017年07月23日 17:24,很好，喜欢
546832175270,t***1,颜色分类:少女时代尊享土豪礼盒赠全套赠品,2017年08月11日 08:46,十分精美
546015499113,l***5,大小:不带卡已拆,2017年07月13日 20:52,拿到手那一刻 幸福！
546832175270,x***5,颜色分类:少女时代精装写真集-红色封面,2017年07月15日 10:06,宝贝与描述相符卖家发货速度也快卖家物流也快速我很喜欢
546015499113,t***9,大小:全新未拆,2017年07月14日 18:39,物流真心快！店主还送了好多小礼物，尤其是扑克牌好喜欢的哈哈哈
546832175270,蔡***6,颜色分类:林允儿典藏写真礼盒装,2017年07月30日 16:04,物流很快，东西也很不错
546832175270,q***臻,颜色分类:少女时代精装写真集赠豪礼,2017年04月30日 21:42,里面有2本书是一样的
546015499113,惯***性,,2017年06月18日 14:34,还送了个鼠标垫..正好缺一个..多谢
546832175270,西***下,颜色分类:林允儿新款明信片180盒装,2017年04月26日 15:50,里面有2本书是一样的
546015499113,c***g,,2017年06月17日 13:42,很好~还送了把扇子
546832175270,t***6,颜色分类:林允儿武神同款限量版写真,2017年03月21日 22:21,此用户没有填写评价。
546015499113,漤***i,,2017年05月07日 16:52,昨天买今天到了神速
546832175270,亚***脑,颜色分类:林允儿明信片小礼盒134套装,2017年06月09日 13:04,送人的。还不错
546015499113,琼***样,,2017年05月01日 09:24,包得很细心，真的是很赞的大大，适合刚入坑的孩子补专辑。
546832175270,q***3,颜色分类:少女时代精装写真集-灰色封面,2017年07月11日 13:08,质量不错。
546015499113,机***t,,2017年04月27日 21:30,物流超快包装也严实鼠标垫超喜欢大大快速回血吧以后也大力支持小金的专辑！???
546832175270,t***0,颜色分类:少女时代精装写真集-灰色封面,2017年07月26日 17:30,质量不错。
546015499113,我***石,大小:全新未拆,2017年07月13日 17:04,我可能是***吧，又抽到了同样的，不喜欢的小卡。。。。不说了，我去哭了。。。。
546832175270,舞***l,颜色分类:林允儿限量版写真集-蓝色封面,2017年06月25日 13:14,质量很好，价格不贵，还有不少赠品！
546015499113,我***石,大小:全新未拆,2017年07月04日 17:21,店主人很好，还送了鼠标垫，但是我可能是***，买了三张专辑，一个我喜欢的小卡都没抽到。
546832175270,q***臻,,2017年05月26日 00:10,东西挺棒的就是快递太垃圾了。
546015499113,h***2,,2017年04月30日 19:01,麻烦您啦还发了顺丰 歪仔内页是真的好好看啊
546832175270,t***0,颜色分类:林允儿明信片小礼盒134套装,2017年07月03日 14:51,系统默认评论
546015499113,沈***v,,2017年06月07日 11:21,评价方未及时做出评价,系统默认好评!
546832175270,l***1,颜色分类:少女时代尊享土豪礼盒赠全套赠品,2017年05月08日 18:19,不好意思写真里有一张海报，但写真有一股怪味
546832175270,q***5,,2017年07月22日 00:10,系统默认评论
546832175270,l***1,颜色分类:林允儿豪华写真礼盒装,2017年05月08日 18:19,很好！
546832175270,t***1,,2017年06月14日 08:50,很满意哦
546832175270,m***o,,2017年06月08日 12:41,评价方未及时做出评价,系统默认好评!
546832175270,z***5,,2017年06月19日 08:40,此用户没有填写评价。
546832175270,刘***毛,,2017年07月25日 10:21,此用户没有填写评价。
554819894743,t***l,大小:29X45X13CM;颜色分类:黑色 白蝴蝶z,2017-08-17 20:51:02,为了泰妍买的书包 一开始在质量上没有很高的期待 因为很便宜 但没想到这书包很好 而且卖家服务态度特别好 这次购物真的很顺心
554819894743,激***葱,大小:29X45X13CM;颜色分类:黑色 白蝴蝶z,2017-08-14 22:44:44,太小了...本蜀黍并背不上，找个小妹妹送了得了
554819894743,此***渝,大小:29X45X13CM;颜色分类:黑色 白蝴蝶z,2017-08-11 14:55:02,不错
554819894743,灬***丶,大小:29X45X13CM;颜色分类:蓝纹 白蝴蝶夜光z,2017-08-02 19:31:55,nice
554867061573,c***8,大小:普版-黄版,2017年08月02日 23:21,终于把金金的专辑都收齐辣！！?卖家还给了赠品是泰妍姐姐做曲奇的便利贴，超酷的。
554867061573,v***a,大小:豪华版-蓝版,2017年07月29日 21:09,店主不但一口咬定是买家的错而且服务态度极差，虽然专辑并没有掉页，但我从没有让店主退货退款，这样的商家不值得大家信赖
554867061573,搁***北,大小:普版-黄版,2017年08月09日 03:12,店主不但一口咬定是买家的错而且服务态度极差，虽然专辑并没有掉页，但我从没有让店主退货退款，这样的商家不值得大家信赖
554867061573,搁***北,大小:普版-黑版,2017年08月09日 03:12,严重脱胶
554867061573,落***6,大小:普版-黄版,2017年07月31日 13:46,此用户没有填写评价。
554867061573,k***9,,2017年08月09日 18:21,此用户没有填写评价。
554867061573,时***云,大小:普版-黄版,2017年07月27日 08:49,此用户没有填写评价。
537733579301,莫***筱,,2017年06月26日 14:00,照片很高清
554867061573,落***6,大小:普版-黑版,2017年07月31日 13:46,评价方未及时做出评价,系统默认好评!
537733579301,笑***9,,2017年07月28日 12:58,照片很高清
554867061573,搁***北,大小:豪华版-蓝版,2017年08月09日 03:12,此用户没有填写评价。
