bj_f_rank|bj_name|bj_id|bj_rank_all|bj_follower|bj_swatch|bj_last_time|bj_last_visit|bj_last_up|bj_info_bs|bj_url|img
492|봉승아|svv1004|1,634위|864|34,730|2016-11-17|2017-10-02 00:00|10 (9,667)|아플 최강 노래 라이브방송♥|http://www.afreecatv.com/svv1004|http://stimg.afreecatv.com/LOGO/sv/svv1004/svv1004.jpg
493|네티+|dbwls2137|1,769위|19,227|1,068,311|2013-06-04|2017-10-02 00:00|14 (171,582)|오늘 밤 너의 마음을 루팡하겠어_★|http://www.afreecatv.com/dbwls2137|http://stimg.afreecatv.com/LOGO/db/dbwls2137/dbwls2137.jpg
494|BJ모찌☆|feellovely|346위|863|7,068|2017-09-04|2017-09-30 21:23|10 (3,353)|때로는 귀엽게 때로는 섹..시하게?빠져볼테야?|http://www.afreecatv.com/feellovely|http://stimg.afreecatv.com/LOGO/fe/feellovely/feellovely.jpg
495|[BJ]나미|apple5001|1,990위|17,701|793,657|2015-02-03|2017-10-04 00:00|82 (237,763)|나미nami|http://www.afreecatv.com/apple5001|http://stimg.afreecatv.com/LOGO/ap/apple5001/apple5001.jpg
496|BJ한됴링|dadf3236|163위|607|11,236|2015-12-22|2017-10-04 01:42|55 (4,636)|됴링이가 미쳐 날뛰고 있습니다.|http://www.afreecatv.com/dadf3236|http://stimg.afreecatv.com/LOGO/da/dadf3236/dadf3236.jpg
497|혜정♬|960917|1,551위|5,718|199,883|2016-09-04|2017-10-02 21:00|11 (113,690)|혜정♬|http://www.afreecatv.com/960917|http://stimg.afreecatv.com/LOGO/96/960917/960917.jpg
498|닌니니리아|ddongssal8|278위|404|8,542|2017-05-06|2017-09-29 18:35|1 (2,744)|소사이어티|http://www.afreecatv.com/ddongssal8|http://stimg.afreecatv.com/LOGO/dd/ddongssal8/ddongssal8.jpg
499|102시월이♥|ahrasmall|939위|4,850|291,681|2016-11-12|2017-10-04 02:57|82 (86,773)|어서와어서|http://www.afreecatv.com/ahrasmall|http://stimg.afreecatv.com/LOGO/ah/ahrasmall/ahrasmall.jpg
501|아기천사주희|joohe97|326위|249|11,878|2016-05-11|2017-10-04 04:57|78 (2,663)|afreecaTV|http://www.afreecatv.com/joohe97|http://stimg.afreecatv.com/LOGO/jo/joohe97/joohe97.jpg
500|쫑쭈♥|dldbsgml1733|338위|147|4,413|2009-03-23|2017-10-04 04:11|32 (871)|afreeca|http://www.afreecatv.com/dldbsgml1733|http://stimg.afreecatv.com/LOGO/dl/dldbsgml1733/dldbsgml1733.jpg
502|뚱욘세|soojin1128|2,402위|10,987|3,517,170|2009-03-18|2017-10-03 14:00|58 (219,959)|ing 2014.11.06 ~|http://www.afreecatv.com/soojin1128|http://stimg.afreecatv.com/LOGO/so/soojin1128/soojin1128.jpg
503|링링이|chaelyn93|1,167위|21,777|4,137|2015-08-28|2017-10-03 13:10|64 (317,847)|게임을 좋아하지만 실력이없어 가끔씩 노래하고 소통하는 BJ|http://www.afreecatv.com/chaelyn93|http://stimg.afreecatv.com/LOGO/ch/chaelyn93/chaelyn93.jpg
504|[DA]다아꽃|whiterja|1,395위|4,700|581,798|2010-11-06|2017-10-04 00:00|91 (64,606)|바람이 분다~|http://www.afreecatv.com/whiterja|http://stimg.afreecatv.com/LOGO/wh/whiterja/whiterja.jpg
505|김한희♡|82lovein|1,106위|1,429|170,967|2015-03-20|2017-10-04 10:08|23 (24,085)|개국일 2015.4.16~ 만남을 소중히 여깁니다...아낍니다.^^|http://www.afreecatv.com/82lovein|http://stimg.afreecatv.com/LOGO/82/82lovein/82lovein.jpg
506|킴썬아★|seona1004|316위|547|27,042|2017-07-14|2017-10-02 00:00|6 (5,298)|소소한 소통방~♡|http://www.afreecatv.com/seona1004|http://stimg.afreecatv.com/LOGO/se/seona1004/seona1004.jpg
507|BJ희앙|nunanuna|312위|650|27,050|2017-05-09|2017-10-03 00:00|7 (6,186)|가죽공방 소통 음악|http://www.afreecatv.com/nunanuna|http://stimg.afreecatv.com/LOGO/nu/nunanuna/nunanuna.jpg
508|BJ뚜2|k3938990|298위|1,164|28,465|2014-01-15|2017-10-04 00:00|62 (13,790)|2017년 7월 14일 시작|http://www.afreecatv.com/k3938990|http://stimg.afreecatv.com/LOGO/k3/k3938990/k3938990.jpg
509|홍뚜까♡|alohayou|1,990위|4,073|232,265|2016-01-29|2017-10-04 00:55|39 (67,065)|여캠/소통/야방/쿡방/심테/흥/고민상담/사연/만능박사뚜까chu~♥|http://www.afreecatv.com/alohayou|http://stimg.afreecatv.com/LOGO/al/alohayou/alohayou.jpg
510|막둥김현정|jung821124|2,320위|23,927|2,912|2015-12-14|2017-10-03 21:07|24 (195,372)|개그우먼 김현정입니다. 2015.12.15~|http://www.afreecatv.com/jung821124|http://stimg.afreecatv.com/LOGO/ju/jung821124/jung821124.jpg
511|Bj)두유♡|1oveyou3|330위|1,225|24,128|2017-08-14|2017-09-29 00:00|30 (8,506)|♡두유집효녀|http://www.afreecatv.com/1oveyou3|http://stimg.afreecatv.com/LOGO/1o/1oveyou3/1oveyou3.jpg
512|유주아나운서|youjoo28|447위|720|26,594|2009-02-12|2017-09-28 03:17|6 (12,752)|차유주아나운서의 진정성솔직공감소통위로토크방!|http://www.afreecatv.com/youjoo28|http://stimg.afreecatv.com/LOGO/yo/youjoo28/youjoo28.jpg
513|달기♡|1101momoda|2,180위|16,264|801,454|2015-07-17|2017-10-02 21:58|25 (209,018)|어서와~한쟌해~|http://www.afreecatv.com/1101momoda|http://stimg.afreecatv.com/LOGO/11/1101momoda/1101momoda.jpg
514|김미니|specialheart|1,335위|61,722|3,766,071|2010-08-20|2017-09-27 21:25|33 (469,884)|김미니|http://www.afreecatv.com/specialheart|http://stimg.afreecatv.com/LOGO/sp/specialheart/specialheart.jpg
516|띰띰|sr7012|372위|235|18,554|2009-12-31|2017-10-03 21:04|1 (2,630)|afreeca|http://www.afreecatv.com/sr7012|http://stimg.afreecatv.com/LOGO/sr/sr7012/sr7012.jpg
517|BJ늘|gksmf3286|244위|516|14,467|2013-02-18|2017-10-03 00:00|9 (2,690)|BJ·늘♥|http://www.afreecatv.com/gksmf3286|http://stimg.afreecatv.com/LOGO/gk/gksmf3286/gksmf3286.jpg
